epoch,train_loss,val_loss
0,66.5343354194676,
1,34.625096594361956,
2,26.22109197699316,
3,25.65230218732738,28.332031108156034
4,23.94325889653811,
5,26.013462181232835,
6,24.08877486017741,28.00917208722875
7,22.017481805527048,
8,26.14135832628703,
9,24.212297584640382,27.422038674354553
10,22.750108466572957,
11,23.088213382246288,
12,24.97296954426047,26.182455895822258
13,25.11780208349228,
14,24.75285735563056,
15,25.618023512570282,26.28832228123387
16,24.174128442730535,
17,23.916183018521085,
18,24.123270344788626,26.295017859603785
19,23.438734172141714,
20,22.239665179219966,
21,24.06656037468344,25.918505088815206
22,23.935953131821602,
23,23.686179819172377,
24,23.536061037620996,25.151342850319946
25,23.35129143508602,
26,25.263348470811973,
27,23.04174562567445,25.82158301261407
28,24.892802476066432,
29,22.83717769683768,
30,22.91879390663208,28.270778830670103
31,24.11060714476729,
32,24.858208200430763,
33,23.18044591535172,26.810496525673926
34,24.56831894331871,
35,22.58669062298999,
36,23.253015286982333,26.277323920892762
37,22.656918223930276,
38,21.354224483308183,
39,23.824608898802435,30.41927762046645
40,24.297904172852704,
41,22.792894880657325,
42,21.49491734578185,25.660633891820908
43,22.565933535632478,
44,21.772151117183302,
45,23.51581305578419,28.053938948278187
46,21.564834927587203,
47,21.72382426084993,
48,24.262648691733677,27.356565100859992
49,21.277892666524405,
50,23.202307498074013,
51,22.203455489792237,27.264343004815185
52,21.472421670953434,
53,22.06731911840504,
54,23.678924955325584,27.313817285661457
55,21.487287146383768,
56,22.173774602750665,
57,23.017763456525323,25.601241320748873
58,22.662830987613496,
59,22.92658349408951,
60,22.555139746159725,25.41321647846246
61,22.539023986417952,
62,21.817006770198205,
63,22.191086349013734,25.504133940497532
64,23.24808212584012,
65,22.709558839122998,
66,23.63526978000114,26.98098496847515
67,24.650277030114168,
68,24.470552053829852,
69,24.11266773285931,25.042593402953088
70,23.26699240485283,
71,21.409117736636777,
72,21.44654705487702,25.381524341770366
73,22.588891444821336,
74,22.79815311178769,
75,23.46867704234983,25.26081763415397
76,22.364779620954437,
77,23.420315874085578,
78,22.9830731979516,26.230086779669872
79,22.31943028906709,
80,23.76343723267453,
81,22.563692708265837,26.04213579300838
82,21.36513104653794,
83,22.874412760580782,
84,21.538605242899564,25.683025066611133
85,22.726343233359458,
86,21.208740114145083,
87,22.648148617379743,24.6727202681801
88,22.964478188589826,
89,22.16781581387128,
90,21.977038098932944,25.57673879137522
91,22.51235818896936,
92,24.470034764713894,
93,22.899600311501384,24.73350111102756
94,22.176410317693126,
95,23.856253752629506,
96,23.31664698846536,24.487052228065984
97,20.757504075493443,
98,23.84867817925536,
99,22.680296882510728,24.84962023473993
